formula,corr_train,corr_test,error_corr
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+SK+ST,0.24846326342530012,0.27610413886216767,0.02764087543686755
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+SK+K,0.25330216148903845,0.26838087638592806,0.015078714896889611
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+SK+N,0.24448447850595573,0.2702640161970678,0.025779537691112075
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+SK+C,0.2446989634246593,0.27225841757133823,0.02755945414667893
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+SK+Q,0.24592572406969007,0.266164945174169,0.020239221104478927
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+KS+ST,0.24632341347906692,0.26673083458843494,0.020407421109368024
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+KS+K,0.25302677696592696,0.2627506089237533,0.009723831957826334
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+KS+N,0.2429202421874968,0.2612899663163814,0.0183697241288846
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+KS+C,0.24350179101828245,0.2631833593635672,0.019681568345284728
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+KS+Q,0.2445720448948745,0.25800346994315765,0.013431425048283152
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+ST+K,0.2537658817107887,0.2669765660469946,0.013210684336205925
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+ST+N,0.2370843362632837,0.26589397764936656,0.028809641386082857
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+ST+C,0.2377998615618777,0.26833110131493804,0.030531239753060324
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+ST+Q,0.23895804649983937,0.26546944961327235,0.026511403113432974
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+K+N,0.24987691247368551,0.2620650917761865,0.012188179302500962
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+K+C,0.25060631360279295,0.26324809936146415,0.012641785758671198
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+K+Q,0.2525676148743953,0.2580779735045154,0.005510358630120116
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+N+C,0.23320460723474618,0.26172246800814963,0.02851786077340346
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+N+Q,0.23332273402180884,0.2587850958637228,0.025462361841913944
np.log(tm)~KL+T+E+protein_length+S+I+pH+D+C+Q,0.23409371064702605,0.2606693633627266,0.02657565271570056
np.log(tm)~KL+T+E+protein_length+S+I+pH+SK+KS+ST,0.2458371639287563,0.26707182925396455,0.021234665325208263
np.log(tm)~KL+T+E+protein_length+S+I+pH+SK+KS+K,0.2522457486557588,0.262338672630109,0.010092923974350243
np.log(tm)~KL+T+E+protein_length+S+I+pH+SK+KS+N,0.24563136531330457,0.26339670001531035,0.01776533470200578
np.log(tm)~KL+T+E+protein_length+S+I+pH+SK+KS+C,0.24507173316115005,0.2660918125662661,0.02102007940511602
np.log(tm)~KL+T+E+protein_length+S+I+pH+SK+KS+Q,0.24428016101570807,0.2569224381928449,0.012642277177136813
np.log(tm)~KL+T+E+protein_length+S+I+pH+SK+ST+K,0.2534200535014173,0.2667942830311519,0.013374229529734605
np.log(tm)~KL+T+E+protein_length+S+I+pH+SK+ST+N,0.2435393281582114,0.26817125182300605,0.024631923664794664
np.log(tm)~KL+T+E+protein_length+S+I+pH+SK+ST+C,0.24323865930912802,0.2720543625343002,0.028815703225172185
np.log(tm)~KL+T+E+protein_length+S+I+pH+SK+ST+Q,0.24222906895321228,0.26376533451373724,0.02153626556052496
np.log(tm)~KL+T+E+protein_length+S+I+pH+SK+K+N,0.25119360000665797,0.26271306819008405,0.011519468183426085
np.log(tm)~KL+T+E+protein_length+S+I+pH+SK+K+C,0.25140597298796225,0.26485893616009487,0.013452963172132626
np.log(tm)~KL+T+E+protein_length+S+I+pH+SK+K+Q,0.25185231615701087,0.2559857337211921,0.00413341756418123
np.log(tm)~KL+T+E+protein_length+S+I+pH+SK+N+C,0.24103562731312356,0.266458759579023,0.02542313226589943
np.log(tm)~KL+T+E+protein_length+S+I+pH+SK+N+Q,0.23978643713687936,0.25873136584329987,0.018944928706420505
np.log(tm)~KL+T+E+protein_length+S+I+pH+SK+C+Q,0.2397777861374788,0.260868214432142,0.021090428294663177
np.log(tm)~KL+T+E+protein_length+S+I+pH+KS+ST+K,0.25295412525781463,0.26181501011679015,0.008860884858975515
np.log(tm)~KL+T+E+protein_length+S+I+pH+KS+ST+N,0.24185178042679834,0.2588713171075588,0.01701953668076045
np.log(tm)~KL+T+E+protein_length+S+I+pH+KS+ST+C,0.24195708718153242,0.2627346766204141,0.020777589438881694
