formula,corr_train,corr_test,error_corr
tm~EA+T+D+R+protein_length+P,0.24337928217624674,0.24293165301364233,0.0004476291626044071
tm~EA+T+D+R+protein_length+K,0.2604306303265669,0.2380229650611582,0.02240766526540869
tm~EA+T+D+R+protein_length+A,0.24763210466157573,0.21773249789689975,0.029899606764675984
tm~EA+T+D+R+protein_length+AL,0.2552345863890651,0.2353713069026088,0.019863279486456303
tm~EA+T+D+R+protein_length+C,0.23490402221249018,0.23258864899421347,0.0023153732182767117
tm~EA+T+D+R+protein_length+S,0.2367654080765107,0.23459114929507313,0.002174258781437566
tm~EA+T+D+R+protein_length+Q,0.2530549108261607,0.23632476656460816,0.01673014426155256
tm~EA+T+D+R+protein_length+N,0.2317580176572727,0.22163037768789337,0.01012763996937932
tm~EA+T+D+R+protein_length+I,0.23201722487989945,0.22547293392934345,0.006544290950556003
tm~EA+T+D+R+L+P,0.1564553479861713,0.13489456443016754,0.02156078355600377
tm~EA+T+D+R+L+K,0.17840228967781935,0.1417941289150151,0.03660816076280424
tm~EA+T+D+R+L+A,0.18865768608724995,0.13985206774484663,0.04880561834240332
tm~EA+T+D+R+L+AL,0.19825063603892784,0.16500848977447952,0.033242146264448325
tm~EA+T+D+R+L+C,0.15716096836807852,0.13837162579328566,0.018789342574792867
tm~EA+T+D+R+L+S,0.19496993486113617,0.1863421053618167,0.008627829499319478
tm~EA+T+D+R+L+Q,0.2074298087588131,0.17219462311104153,0.03523518564777156
tm~EA+T+D+R+L+N,0.15600828744997955,0.13035123318847783,0.02565705426150172
tm~EA+T+D+R+L+I,0.16298683754112964,0.13884734653689862,0.024139491004231017
tm~EA+T+D+R+P+K,0.19414360998744234,0.1608780141234956,0.033265595863946756
tm~EA+T+D+R+P+A,0.19982813653634718,0.15541478295753416,0.044413353578813014
tm~EA+T+D+R+P+AL,0.20244208356042936,0.17191208799064925,0.030529995569780116
tm~EA+T+D+R+P+C,0.17201498384394395,0.16326926451964519,0.008745719324298767
tm~EA+T+D+R+P+S,0.20747067548772447,0.20575445171494494,0.0017162237727795238
tm~EA+T+D+R+P+Q,0.21761327453760368,0.19087770060294326,0.026735573934660417
