formula,corr_train,corr_test,error_corr
np.log(tm)~protein_length+A+G+S+AL+KQ+SN,0.27985995970696015,0.27395866191569607,0.005901297791264082
np.log(tm)~protein_length+A+G+S+AL+KQ+SK,0.28178953846124094,0.27534311936890865,0.0064464190923322895
np.log(tm)~protein_length+A+G+S+AL+KQ+ST,0.2806823486861196,0.27457815452200734,0.006104194164112231
np.log(tm)~protein_length+A+G+S+AL+KQ+periodoA,0.28733584186644306,0.27853438207473924,0.008801459791703825
np.log(tm)~protein_length+A+G+S+AL+KQ+periodoC,0.2841867323837681,0.27478022206192154,0.009406510321846584
np.log(tm)~protein_length+A+G+S+AL+KQ+periodoG,0.276954279662975,0.27070031745083895,0.006253962212136033
np.log(tm)~protein_length+A+G+S+AL+KS+SN,0.276737900042912,0.2641084398332148,0.012629460209697185
np.log(tm)~protein_length+A+G+S+AL+KS+SK,0.27879765772514986,0.26628486450659894,0.012512793218550922
np.log(tm)~protein_length+A+G+S+AL+KS+ST,0.27835359110676106,0.2666586263914756,0.011694964715285472
np.log(tm)~protein_length+A+G+S+AL+KS+periodoA,0.2817228281969148,0.2689739423006121,0.012748885896302686
np.log(tm)~protein_length+A+G+S+AL+KS+periodoC,0.2833574029016106,0.2686306032182105,0.014726799683400127
np.log(tm)~protein_length+A+G+S+AL+KS+periodoG,0.27340416696029374,0.26115161230973083,0.012252554650562908
np.log(tm)~protein_length+A+G+S+AL+SN+SK,0.2767963363479149,0.2696835311129048,0.007112805235010122
np.log(tm)~protein_length+A+G+S+AL+SN+ST,0.2746811417317237,0.2682270206790683,0.006454121052655415
np.log(tm)~protein_length+A+G+S+AL+SN+periodoA,0.2794530804322097,0.2725600632671022,0.0068930171651074845
np.log(tm)~protein_length+A+G+S+AL+SN+periodoC,0.2799681953160048,0.27005435433006486,0.009913840985939948
np.log(tm)~protein_length+A+G+S+AL+SN+periodoG,0.27099920769504865,0.26390611466714947,0.007093093027899178
np.log(tm)~protein_length+A+G+S+AL+SK+ST,0.2783502974105677,0.2716227501904815,0.006727547220086227
np.log(tm)~protein_length+A+G+S+AL+SK+periodoA,0.2836232985431588,0.27431917487017055,0.009304123672988274
np.log(tm)~protein_length+A+G+S+AL+SK+periodoC,0.2826925173899775,0.2722307745785503,0.0104617428114272
